id,lodge_name_raw,lodge_name_clean,language_primary,confidence_language,ontology_primary,ontology_secondary,confidence_ontology,theme_primary,theme_secondary,confidence_theme,flags,created_at
1008,Lodge of St. John,Lodge of St. John,English,0.9,PRS_REL,LOC_CTY,0.9,Religious,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1009,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
101,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1010,Arimathea Lodge,Arimathea Lodge,English,0.75,PRS_REL,,0.9,Religious,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1011,Lodge of Perfect Harmony,Lodge of Perfect Harmony,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1012,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1013,Constitution Lodge,Constitution Lodge,English,0.75,ABS_PHI,,0.8,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1014,"No. 1, Provincial","No. 1, Provincial",English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1015,Lodge of Friendship,Lodge of Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1016,Lodge of True Friendship,Lodge of True Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1017,Lion & Lamb Lodge,Lion & Lamb Lodge,English,0.75,LOC_LAN,NAT_ANI,0.82,Geographic / Civic,Nature,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1018,Lodge of Prosperity,Lodge of Prosperity,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1019,Lodge of Confidence,Lodge of Confidence,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
102,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1020,Lodge Charles of the Crowned Column,Lodge Charles of the Crowned Column,English,0.9,PRS_HIS,OBJ_EMB,0.86,Geographic / Civic,Symbolic / Esoteric,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1021,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1022,Royal Marine Lodge,Royal Marine Lodge,English,0.9,PRS_ROY,GRP_MIL,0.88,Royal / Aristocratic,Military / Service,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1023,Lodge of Fortitude and Perseverance,Lodge of Fortitude and Perseverance,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1024,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1025,Lodge of Temperance,Lodge of Temperance,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1026,Royal Alfred Lodge,Royal Alfred Lodge,English,0.9,PRS_HIS,PRS_ROY,0.86,Royal / Aristocratic,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1027,St. Paul's Lodge,St. Paul's Lodge,English,0.9,PRS_REL,LOC_CTY,0.9,Religious,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1028,Lodge of Hengist,Lodge of Hengist,English,0.9,PRS_HIS,ABS_VRT,0.86,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1029,Artillery Lodge. No. 2 Provincial,Artillery Lodge. No. 2 Provincial,English,0.75,GRP_MIL,GRP_MAS,0.9,Military / Service,Masonic / Administrative,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
103,United Mariners Lodge,United Mariners Lodge,English,0.75,ABS_FRAT,GRP_MIL,0.8,Virtue / Moral Ideal,Military / Service,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1030,Seventh Regiment of Light Dragoons,Seventh Regiment of Light Dragoons,English,0.9,ABS_VRT,ABS_PHI,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1031,Lodge of Concord,Lodge of Concord,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1032,Queen's Lodge,Queen's Lodge,English,0.9,PRS_ROY,,0.88,Royal / Aristocratic,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1033,Albion Lodge,Albion Lodge,English,0.75,LOC_CTY,GRP_NAT,0.86,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1034,Jerusalem Lodge,Jerusalem Lodge,English,0.75,LOC_CTY,,0.86,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1035,Percy Lodge,Percy Lodge,English,0.75,PRS_HIS,,0.86,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1036,Lodge of Industry,Lodge of Industry,English,0.9,ABS_VRT,ABS_PHI,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1037,Lodge of Perfect Union,Lodge of Perfect Union,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1038,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1039,Lodge of Peace and Harmony,Lodge of Peace and Harmony,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
104,Lodge of Attention,Lodge of Attention,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1040,Lodge of Peace and Harmony,Lodge of Peace and Harmony,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1041,Lodge of Sincere Brotherly Love,Lodge of Sincere Brotherly Love,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1042,Lodge of Friendship,Lodge of Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1043,Old Globe Lodge,Old Globe Lodge,English,0.9,ABS_TMP,OBJ_STR,0.83,Virtue / Moral Ideal,Symbolic / Esoteric,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1044,Lodge of Perfect Union,Lodge of Perfect Union,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1045,Wynnstay Lodge,Wynnstay Lodge,English,0.75,LOC_BDG,,0.82,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1046,Wynnstay Lodge,Wynnstay Lodge,English,0.75,LOC_BDG,,0.82,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1047,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1048,Jordan Lodge of Good Companions ,Jordan Lodge of Good Companions,English,0.9,ABS_VRT,LOC_REL,0.85,Virtue / Moral Ideal,Religious,0.85,DICT_MATCH|TOKEN_RELIGIOUS_PLACE,2026-03-12T12:22:55+00:00
1049,Lodge of Friendship,Lodge of Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
105,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1050,Hiram's Cliftonian Lodge,Hiram's Cliftonian Lodge,English,0.9,GRP_INT,PRS_REL,0.88,Religious,Clubs / Association,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1051,St. George's Lodge,St. George's Lodge,English,0.9,PRS_REL,LOC_CTY,0.9,Religious,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1052,No. 2. Provincial,No. 2. Provincial,English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1053,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1054,No. 3 Provincial,No. 3 Provincial,English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1055,St. George's Lodge,St. George's Lodge,English,0.9,PRS_REL,LOC_CTY,0.9,Religious,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1056,No. 4 Provincial,No. 4 Provincial,English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1057,Forty-fifth Regiment,Forty-fifth Regiment,English,0.75,ABS_PHI,GRP_MIL,0.8,Virtue / Moral Ideal,Military / Service,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1058,Lodge of Equanimity,Lodge of Equanimity,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1059,No. 5 Provincial,No. 5 Provincial,English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
106,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1060,Provincial Grand Lodge,Provincial Grand Lodge,English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1061,Lodge of Harmony,Lodge of Harmony,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1062,Britannic Lodge,Britannic Lodge,English,0.75,LOC_REG,,0.84,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1063,Provincial Grand Lodge,Provincial Grand Lodge,English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1064,Rising Sun Lodge,Rising Sun Lodge,English,0.75,NAT_AST,,0.75,Nature,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1065,Lodge of Fidelity,Lodge of Fidelity,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1066,Lodge of Vigilance,Lodge of Vigilance,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1067,Ancient Union and Princes Lodge ,Ancient Union and Princes Lodge,English,0.9,PRS_ROY,ABS_VRT,0.88,Virtue / Moral Ideal,Royal / Aristocratic,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1068,Lodge of Discretion,Lodge of Discretion,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1069,"Prince Edward's Lodge, again.","Prince Edward's Lodge, again.",English,0.9,PRS_ROY,,0.88,Royal / Aristocratic,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
107,United Industrious Lodge,United Industrious Lodge,English,0.75,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1070,Torbay Lodge,Torbay Lodge,English,0.75,LOC_REG,,0.84,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1071,Unity Lodge,Unity Lodge,English,0.9,ABS_FRAT,,0.8,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1072,Caledonian Lodge,Caledonian Lodge,English,0.75,GRP_NAT,,0.82,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1073,Union Lodge,Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1074,Royal Arch Lodge of the Temple of Jerusalem,Royal Arch Lodge of the Temple of Jerusalem,English,0.9,PRS_ROY,LOC_BDG,0.88,Religious,Royal / Aristocratic,0.85,DICT_MATCH|TOKEN_RELIGIOUS_PLACE,2026-03-12T12:22:55+00:00
1075,Lodge of Candour,Lodge of Candour,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1076,Lodge of Freedom,Lodge of Freedom,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1077,Lodge of Israel,Lodge of Israel,English,0.9,PRS_REL,LOC_REL,0.9,Religious,Geographic / Civic,0.85,DICT_MATCH|TOKEN_RELIGIOUS_PLACE,2026-03-12T12:22:55+00:00
1078,Lodge of Friendship,Lodge of Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1079,Lodge of Friendship,Lodge of Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
108,Mother Lodge of St. John,Mother Lodge of St. John,English,0.9,PRS_REL,LOC_CTY,0.9,Religious,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1080,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1081,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1082,No. 3 Provincial,No. 3 Provincial,English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:55+00:00
1083,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1084,Lodge of Loyalty,Lodge of Loyalty,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1085,Lodge of Concord,Lodge of Concord,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1086,Royal Lodge,Royal Lodge,English,0.9,PRS_ROY,,0.88,Royal / Aristocratic,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1087,Lodge of Three Grand Principles,Lodge of Three Grand Principles,English,0.9,ABS_PHI,GRP_MAS,0.8,Virtue / Moral Ideal,Masonic / Administrative,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1088,Lodge of Three Grand Principles,Lodge of Three Grand Principles,English,0.9,ABS_PHI,GRP_MAS,0.8,Virtue / Moral Ideal,Masonic / Administrative,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
1089,Ninth Regiment of Dragoons,Ninth Regiment of Dragoons,English,0.9,GRP_MIL,,0.9,Military / Service,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00
109,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:55+00:00
1090,Etonian Lodge of St. John,Etonian Lodge of St. John,English,0.9,GRP_INT,PRS_REL,0.88,Religious,Clubs / Association,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1091,Royal Edmund Lodge,Royal Edmund Lodge,English,0.9,PRS_HIS,PRS_ROY,0.86,Royal / Aristocratic,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1092,Seventeenth Regiment Light Dragoons,Seventeenth Regiment Light Dragoons,English,0.75,ABS_VRT,ABS_PHI,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1093,Union Lodge,Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1094,Union Lodge,Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1095,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:56+00:00
1096,Lodge of Fortitude,Lodge of Fortitude,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1097,Lodge of Liberty,Lodge of Liberty,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1098,5th Lodge of Bengal,5th Lodge of Bengal,English,0.9,LOC_CTY,LOC_REG,0.86,Geographic / Civic,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1099,"No. 5, Provincial","No. 5, Provincial",English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
11,Lodge of Friendship,Lodge of Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
110,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:56+00:00
1100,Lodge of Unanimity,Lodge of Unanimity,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1101,7th Lodge of Bengal,7th Lodge of Bengal,English,0.9,LOC_CTY,LOC_REG,0.86,Geographic / Civic,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1102,8th Lodge of Bengal,8th Lodge of Bengal,English,0.9,LOC_CTY,LOC_REG,0.86,Geographic / Civic,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1103,9th Lodge of Bengal,9th Lodge of Bengal,English,0.9,LOC_CTY,LOC_REG,0.86,Geographic / Civic,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1104,"No. 6, Provincial","No. 6, Provincial",English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1105,"No. 7, Provincial","No. 7, Provincial",English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1106,Duke of Athol Lodge,Duke of Athol Lodge,English,0.9,PRS_ROY,ABS_VRT,0.88,Virtue / Moral Ideal,Royal / Aristocratic,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1107,"No. 7, Provincial","No. 7, Provincial",English,0.75,GRP_MAS,,0.88,Masonic / Administrative,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1108,Union Lodge,Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1109,St. Michael's Lodge,St. Michael's Lodge,English,0.9,PRS_REL,,0.9,Religious,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
111,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:56+00:00
1110,Apollo Lodge,Apollo Lodge,Greek,0.9,PRS_MYTH,,0.88,Mythological / Classical,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1111,Phoenix Lodge,Phoenix Lodge,Greek,0.9,PRS_MYTH,,0.88,Mythological / Classical,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1112,Hiram Lodge,Hiram Lodge,English,0.75,PRS_REL,,0.9,Religious,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1113,Lodge of Jehosaphat,Lodge of Jehosaphat,English,0.9,PRS_REL,,0.9,Religious,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1114,Lodge of Jehosaphat,Lodge of Jehosaphat,English,0.9,PRS_REL,,0.9,Religious,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1115,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:56+00:00
1116,Euphrates Lodge,Euphrates Lodge,English,0.75,LOC_REL,,0.88,Religious,Geographic / Civic,0.85,ENGLISH_FALLBACK|TOKEN_RELIGIOUS_PLACE,2026-03-12T12:22:56+00:00
1117,10th Lodge of Bengal,10th Lodge of Bengal,English,0.9,LOC_CTY,LOC_REG,0.86,Geographic / Civic,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1118,4th Lodge of Bengal,4th Lodge of Bengal,English,0.9,LOC_CTY,LOC_REG,0.86,Geographic / Civic,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1119,Division Of Artificers,Division Of Artificers,English,0.9,ABS_VRT,GRP_MIL,0.85,Virtue / Moral Ideal,Military / Service,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
112,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:56+00:00
1120,Chosen Friends' Lodge (in a pamphlet of 1827),Chosen Friends' Lodge (in a pamphlet of 1827),English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1121,5th Lodge of Bengal,5th Lodge of Bengal,English,0.9,LOC_CTY,LOC_REG,0.86,Geographic / Civic,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1122,Rising Sun Lodge,Rising Sun Lodge,English,0.75,NAT_AST,,0.75,Nature,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1123,Lodge of Perseverance,Lodge of Perseverance,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1124,St. John's Lodge,St. John's Lodge,English,0.9,PRS_REL,LOC_CTY,0.9,Religious,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1125,Lodge of Hope and Unity,Lodge of Hope and Unity,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1126,Union Lodge,Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1127,Union Lodge,Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1128,Williamsburg Lodge,Williamsburg Lodge,English,0.75,LOC_CTY,,0.86,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1129,Lodge of Commerce,Lodge of Commerce,English,0.9,ABS_VRT,ABS_PHI,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
113,,,English,1.0,UNK_,,1.0,,,1.0,CLASSIFICATION_DEFAULTED|INPUT_BLANK,2026-03-12T12:22:56+00:00
1130,Botetourt Lodge,Botetourt Lodge,English,0.75,PRS_HIS,,0.86,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1131,Lodge of Unanimity,Lodge of Unanimity,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
1132,Eighty-fifth Regiment,Eighty-fifth Regiment,English,0.75,ABS_PHI,GRP_MIL,0.8,Virtue / Moral Ideal,Military / Service,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1133,Lodge Frederick,Lodge Frederick,English,0.75,PRS_HIS,,0.86,Geographic / Civic,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1134,Harmonic Lodge,Harmonic Lodge,English,0.75,GRP_INT,ABS_VRT,0.88,Virtue / Moral Ideal,Clubs / Association,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00
1135,Lodge of Good Friends,Lodge of Good Friends,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00
