id,lodge_name_raw,lodge_name_clean,language_primary,confidence_language,ontology_primary,ontology_secondary,confidence_ontology,theme_primary,theme_secondary,confidence_theme,flags,created_at,manual_ontology_correct,manual_notes,language_correct,primary_ontology_correct,any_ontology_correct
11341,Five Heads Lodge,Five Heads Lodge,English,0.75,ABS_PHI,LOC_CTY,0.8,Virtue / Moral Ideal,Geographic / Civic,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:12+00:00,,,1,0,1
12078,Three Spires Lodge ,Three Spires Lodge,English,0.75,ABS_PHI,OBJ_STR,0.8,Virtue / Moral Ideal,Symbolic / Esoteric,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:13+00:00,,,1,0,1
1225,Ninety-second Regiment,Ninety-second Regiment,English,0.75,ABS_PHI,GRP_MIL,0.8,Virtue / Moral Ideal,Military / Service,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00,,,1,0,1
7863,Specula Lodge,Specula Lodge,Latin,0.75,ABS_PHI,,0.8,Symbolic / Esoteric,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:04+00:00,,Tr. Watchtower,1,0,0
12556,Noontide Lodge ,Noontide Lodge,English,0.75,ABS_TMP,,0.8,Symbolic / Esoteric,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:14+00:00,,,1,1,1
7325,Antient Manor Lodge,Antient Manor Lodge,English,0.75,ABS_TMP,LOC_BDG,0.83,Virtue / Moral Ideal,Geographic / Civic,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:03+00:00,,,1,0,1
9163,Regency Lodge,Regency Lodge,English,0.75,ABS_TMP,,0.83,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:05+00:00,,,1,1,1
10043,Hundred of Axstane Lodge,Hundred of Axstane Lodge,English,0.9,ABS_VRT,NAT_GEO,0.85,Virtue / Moral Ideal,Nature,0.85,DICT_MATCH,2026-03-12T12:23:09+00:00,,Region,1,0,1
10113,University of Technology Lodge,University of Technology Lodge,English,0.9,ABS_VRT,GRP_EDU,0.85,Virtue / Moral Ideal,Educational / Institutional,0.85,DICT_MATCH,2026-03-12T12:23:09+00:00,,,1,0,1
1037,Lodge of Perfect Union,Lodge of Perfect Union,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00,,,1,0,1
104,Lodge of Attention,Lodge of Attention,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00,,,1,1,1
10438,Lodge of Continued Friendship,Lodge of Continued Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:10+00:00,,,1,0,1
10513,Old Grammarian Lodge of Waterloo,Old Grammarian Lodge of Waterloo,English,0.9,ABS_VRT,LOC_CTY,0.85,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:23:10+00:00,,,1,0,1
10587,Lodge of Justice,Lodge of Justice,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:10+00:00,,,1,1,1
10590,Lodge of Faith for Duty,Lodge of Faith for Duty,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:10+00:00,,,1,1,1
1075,Lodge of Candour,Lodge of Candour,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:55+00:00,,,1,1,1
10875,Lodge of Contentment ,Lodge of Contentment,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:11+00:00,,,1,1,1
1108,Union Lodge,Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,0,1
11172,Conception Lodge,Conception Lodge,English,0.75,ABS_VRT,PRS_REL,0.8,Religious,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:11+00:00,,,1,1,1
11359,Guyana Lodge of Research,Guyana Lodge of Research,English,0.9,ABS_VRT,LOC_CTY,0.85,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:23:12+00:00,,GRP_MAS / GRP_EDU,1,0,0
11551,Triumphant Lodge,Triumphant Lodge,English,0.75,ABS_VRT,,0.8,Virtue / Moral Ideal,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:12+00:00,,,1,1,1
11723,Lodge of Good Heart,Lodge of Good Heart,English,0.9,ABS_VRT,OBJ_EMB,0.85,Virtue / Moral Ideal,Symbolic / Esoteric,0.85,DICT_MATCH,2026-03-12T12:23:13+00:00,,,1,1,1
11820,Hundred of Hoo Lodge,Hundred of Hoo Lodge,English,0.9,ABS_VRT,LOC_CTY,0.85,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:23:13+00:00,,,1,0,1
11881,Lodge of Harmony ,Lodge of Harmony,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:13+00:00,,,1,1,1
12213,Lodge of Progress,Lodge of Progress,English,0.9,ABS_VRT,ABS_PHI,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:14+00:00,,,1,1,1
12330,Lodge of Loyalty,Lodge of Loyalty,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:14+00:00,,,1,1,1
12377,Lodge of Brothers in Arms ,Lodge of Brothers in Arms,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:14+00:00,,,1,1,1
12390,Concord Lodge,Concord Lodge,English,0.75,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:14+00:00,,,1,1,1
12490,Steadfast Lodge ,Steadfast Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:14+00:00,,,1,1,1
1264,Loyalty Lodge,Loyalty Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00,,,1,1,1
12774,Lodge of True Aim,Lodge of True Aim,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:14+00:00,,,1,1,1
12880,Nigeria Friendship Lodge,Nigeria Friendship Lodge,English,0.75,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:15+00:00,,,1,1,1
12881,District Grand Stewards Lodge of Bahamas and Turks,District Grand Stewards Lodge of Bahamas and Turks,English,0.9,ABS_VRT,LOC_REG,0.85,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:23:15+00:00,,,1,1,1
1316,Lodge of Unanimity,Lodge of Unanimity,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,1,1
1317,Lodge of Harmony,Lodge of Harmony,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,1,1
1334,Lodge of Good-Will,Lodge of Good-Will,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,1,1
1371,Lodge of Unanimity and Sincerity,Lodge of Unanimity and Sincerity,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,1,1
1408,Lodge of Friendship,Lodge of Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,1,1
1493,Lodge of Unity and Friendship,Lodge of Unity and Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,1,1
1543,Lodge of Fellowship,Lodge of Fellowship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,1,1
1566,Moira Lodge of Honour,Moira Lodge of Honour,Greek,0.9,ABS_VRT,LOC_CTY,0.85,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,"Moira - Named after Lord Moira, so PRS_HIS",0,1,1
1573,Lodge of Unity,Lodge of Unity,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,1,1
1663,Lodge of Benevolence,Lodge of Benevolence,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,1,1
18,Westminster and Keystone Lodge,Westminster and Keystone Lodge,English,0.9,ABS_VRT,OBJ_EMB,0.85,Virtue / Moral Ideal,Symbolic / Esoteric,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,0,1
2000,Lodge of Australasia,Lodge of Australasia,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:56+00:00,,,1,0,0
2131,Independent Lodge,Independent Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:56+00:00,,,1,1,1
2380,Worthing Lodge of Friendship,Worthing Lodge of Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,1,1
2449,Mountain Lodge of Bombala,Mountain Lodge of Bombala,English,0.9,ABS_VRT,LOC_CTY,0.85,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,1,1
2463,Lodge of Merit,Lodge of Merit,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,1,1
2629,Lodge of Emulation,Lodge of Emulation,English,0.9,ABS_VRT,GRP_MAS,0.85,Virtue / Moral Ideal,Masonic / Administrative,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,1,1
2647,Oxford  and  Cambridge University Lodge,Oxford  and  Cambridge University Lodge,English,0.9,ABS_VRT,LOC_CTY,0.85,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,0,0
2795,Lodge of Honour and Friendship,Lodge of Honour and Friendship,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,1,1
2800,Lodge of Friendship and Unity,Lodge of Friendship and Unity,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,1,1
2833,Olive Union Lodge,Olive Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,1,1
2955,The Great City Lodge,The Great City Lodge,English,0.9,ABS_VRT,LOC_CTY,0.85,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,0,1
2966,Liberty of Havering Lodge,Liberty of Havering Lodge,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:57+00:00,,,1,1,1
319,The Great Lodge,The Great Lodge,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:58+00:00,,,1,0,0
3338,Lodge Fidelis,Lodge Fidelis,English,0.75,ABS_VRT,ABS_LAT,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:58+00:00,,,0,1,1
3407,Northern Light Lodge,Northern Light Lodge,English,0.75,ABS_VRT,ABS_PHI,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:58+00:00,,NAT_AST,1,0,0
385,Lodge of Eleusinian Mysteries,Lodge of Eleusinian Mysteries,English,0.9,ABS_VRT,OBJ_SCI,0.85,Virtue / Moral Ideal,Symbolic / Esoteric,0.85,DICT_MATCH,2026-03-12T12:22:59+00:00,,Religious Rites in Greece,1,0,0
4014,Zoutpansberg Liberty Lodge,Zoutpansberg Liberty Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:59+00:00,,,1,1,1
472,Lodge of Harmony and Industry,Lodge of Harmony and Industry,English,0.9,ABS_VRT,ABS_PHI,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:59+00:00,,,1,1,1
52,Fraternal Lodge,Fraternal Lodge,English,0.75,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:22:59+00:00,,,1,0,1
537,Second Division of Marines,Second Division of Marines,English,0.9,ABS_VRT,ABS_PHI,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:59+00:00,,GRP_MIL,1,0,0
5437,Perseverance Lodge,Perseverance Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:02+00:00,,,1,1,1
5778,United Services Lodge of Pretoria,United Services Lodge of Pretoria,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:01+00:00,,,1,1,1
590,Lodge of Unity,Lodge of Unity,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:59+00:00,,,1,1,1
5929,Civil Service Lodge,Civil Service Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:01+00:00,,GRP_JOB,1,0,0
6101,Good Fellowship Lodge,Good Fellowship Lodge,English,0.75,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:00+00:00,,,1,0,1
621,Lodge of Utility.,Lodge of Utility.,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:22:59+00:00,,,1,1,1
6222,Renaissance Lodge,Renaissance Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:00+00:00,,ABS_TMP,1,0,0
6403,Fervency Lodge,Fervency Lodge,English,0.75,ABS_VRT,,0.8,Virtue / Moral Ideal,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:00+00:00,,,1,1,1
7319,Excelsior Lodge,Excelsior Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:03+00:00,,,1,1,1
7621,Federation Lodge,Federation Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:03+00:00,,,1,1,1
7766,Vigilance Lodge,Vigilance Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:04+00:00,,,1,1,1
7858,Lodge of Permanence,Lodge of Permanence,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:04+00:00,,,1,1,1
7915,Lodge of Impartiality,Lodge of Impartiality,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:04+00:00,,,1,1,1
8011,Lodge of Rectitude,Lodge of Rectitude,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:04+00:00,,,1,1,1
8211,Goodwill Lodge,Goodwill Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:04+00:00,,,1,1,1
8669,Precision Lodge,Precision Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:06+00:00,,,1,1,1
8681,Semper Fidelis Lodge,Semper Fidelis Lodge,Latin,0.9,ABS_VRT,ABS_LAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:06+00:00,,,1,1,1
8684,Liberty Lodge,Liberty Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:06+00:00,,,1,1,1
887,"Provincial Grand Lodge of York, Chester, and Lancaster.","Provincial Grand Lodge of York, Chester, and Lancaster.",English,0.9,ABS_VRT,LOC_CTY,0.85,Virtue / Moral Ideal,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:23:00+00:00,,,1,0,1
9005,Victory Lodge,Victory Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:05+00:00,,,1,1,1
9248,Lodge of Good Intention,Lodge of Good Intention,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:06+00:00,,,1,1,1
9402,Union Lodge,Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:07+00:00,,,1,1,1
9532,Lodge of Aviation,Lodge of Aviation,English,0.9,ABS_VRT,GRP_MIL,0.85,Virtue / Moral Ideal,Military / Service,0.85,DICT_MATCH,2026-03-12T12:23:07+00:00,,GRP_INT,1,0,0
9559,Lodge of Fidelity,Lodge of Fidelity,English,0.9,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:07+00:00,,,1,1,1
9645,True Light Lodge,True Light Lodge,English,0.75,ABS_VRT,ABS_PHI,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:08+00:00,,,1,1,1
9709,West Gate Lodge,West Gate Lodge,English,0.9,ABS_VRT,OBJ_STR,0.85,Virtue / Moral Ideal,Symbolic / Esoteric,0.85,DICT_MATCH,2026-03-12T12:23:08+00:00,,OBJ_MAS,1,0,0
986,Benevolent Lodge,Benevolent Lodge,English,0.75,ABS_VRT,,0.85,Virtue / Moral Ideal,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:00+00:00,,,1,1,1
9872,Union Lodge,Union Lodge,English,0.9,ABS_VRT,ABS_FRAT,0.85,Virtue / Moral Ideal,,0.85,DICT_MATCH,2026-03-12T12:23:08+00:00,,,1,1,1
10388,Old Rectory Lodge,Old Rectory Lodge,English,0.9,GRP_EDU,,0.82,Educational / Institutional,,0.85,DICT_MATCH,2026-03-12T12:23:10+00:00,,,1,1,1
10903,Old Cedarians Lodge ,Old Cedarians Lodge,English,0.9,GRP_EDU,,0.82,Educational / Institutional,,0.85,DICT_MATCH,2026-03-12T12:23:11+00:00,,,1,1,1
11333,Old Marlingtonian Lodge,Old Marlingtonian Lodge,English,0.9,GRP_EDU,,0.82,Educational / Institutional,,0.85,DICT_MATCH,2026-03-12T12:23:12+00:00,,,1,1,1
12761,Universitas Lodge,Universitas Lodge,Latin,0.75,GRP_EDU,,0.8,Educational / Institutional,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:14+00:00,,,1,1,1
3762,Old Westminsters' Lodge,Old Westminsters' Lodge,English,0.9,GRP_EDU,,0.82,Educational / Institutional,,0.85,DICT_MATCH,2026-03-12T12:22:59+00:00,,,1,1,1
7717,Old Berkhamstedian Lodge,Old Berkhamstedian Lodge,English,0.9,GRP_EDU,,0.82,Educational / Institutional,,0.85,DICT_MATCH,2026-03-12T12:23:04+00:00,,,1,1,1
8182,Old Ellesmerian Lodge,Old Ellesmerian Lodge,English,0.9,GRP_EDU,,0.82,Educational / Institutional,,0.85,DICT_MATCH,2026-03-12T12:23:04+00:00,,,1,1,1
8313,Old Chelmsfordian Lodge,Old Chelmsfordian Lodge,English,0.9,GRP_EDU,,0.82,Educational / Institutional,,0.85,DICT_MATCH,2026-03-12T12:23:04+00:00,,,1,1,1
8496,Old Oundelian Lodge,Old Oundelian Lodge,English,0.9,GRP_EDU,,0.82,Educational / Institutional,,0.85,DICT_MATCH,2026-03-12T12:23:05+00:00,,,1,1,1
9284,Old Worksopian Lodge,Old Worksopian Lodge,English,0.9,GRP_EDU,,0.82,Educational / Institutional,,0.85,DICT_MATCH,2026-03-12T12:23:07+00:00,,,1,1,1
11024,Venture Lodge ,Venture Lodge,English,0.75,GRP_INT,ABS_VRT,0.88,Virtue / Moral Ideal,Clubs / Association,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:11+00:00,,,1,0,1
11568,Lodge of Discovery,Lodge of Discovery,English,0.9,GRP_INT,ABS_VRT,0.88,Virtue / Moral Ideal,Clubs / Association,0.85,DICT_MATCH,2026-03-12T12:23:12+00:00,,,1,0,1
12178,East Lancashire Rotary Lodge,East Lancashire Rotary Lodge,English,0.9,GRP_INT,LOC_REG,0.88,Clubs / Association,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:23:14+00:00,,,1,1,1
12496,Regattas Lodge ,Regattas Lodge,English,0.75,GRP_INT,NAT_ANI,0.8,Clubs / Association,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:14+00:00,,,1,1,1
12545,Radio Millennium Lodge ,Radio Millennium Lodge,English,0.75,GRP_INT,ABS_TMP,0.88,Virtue / Moral Ideal,Clubs / Association,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:14+00:00,,,1,1,1
12649,Rugby Football Lodge,Rugby Football Lodge,English,0.75,GRP_INT,LOC_CTY,0.88,Clubs / Association,Geographic / Civic,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:14+00:00,,,1,1,1
12740,Rugby Bastion Lodge,Rugby Bastion Lodge,English,0.75,GRP_INT,OBJ_STR,0.88,Clubs / Association,Symbolic / Esoteric,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:14+00:00,,,1,0,1
12828,Derbyshire Classic Car Lodge,Derbyshire Classic Car Lodge,English,0.75,GRP_INT,LOC_REG,0.88,Clubs / Association,Geographic / Civic,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:14+00:00,,,1,1,1
12853,Gourmet Lodge,Gourmet Lodge,English,0.75,GRP_INT,,0.8,Clubs / Association,,0.8,ENGLISH_FALLBACK|REVIEW_REQUIRED|CLAUDE_ASSISTED,2026-03-12T12:23:15+00:00,,,1,1,1
12854,Cricket Lodge of Essex,Cricket Lodge of Essex,English,0.9,GRP_INT,LOC_REG,0.88,Clubs / Association,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:23:15+00:00,,,1,1,1
12871,North Wales Motorcycle Lodge,North Wales Motorcycle Lodge,English,0.9,GRP_INT,LOC_CTY,0.88,Clubs / Association,Geographic / Civic,0.85,DICT_MATCH,2026-03-12T12:23:15+00:00,,,1,1,1
6249,Proscenium Lodge,Proscenium Lodge,English,0.75,GRP_INT,,0.88,Clubs / Association,,0.85,ENGLISH_FALLBACK,2026-03-12T12:23:00+00:00,,,1,1,1
